"","scrubbed_species_binomial","Height","Leaf_N","Leaf_P","Seed_mass","SLA","Wood_density","FAMILY_STD","GROWTHFORM_STD","GROWTHFORM_DIV","GROWTHFORM_GEN"
"22","Abies grandis",59.381006,NA,NA,20.4390536,NA,0.35,"Pinaceae","Tree","Tree","woody"
"23","Abies guatemalensis",NA,NA,NA,NA,NA,0.43,"Pinaceae","Tree","Tree","woody"
"24","Abies holophylla",NA,NA,NA,NA,NA,0.335895,"Pinaceae","Tree","Tree","woody"
"25","Abies homolepis",NA,NA,NA,19.205902,NA,NA,"Pinaceae","Tree","Tree","woody"
"26","Abies koreana",NA,NA,NA,10,NA,NA,NA,NA,NA,NA
"27","Abies lasiocarpa",32.352,10.2,1.07941275833333,15.1956478823529,1.31000261977276,0.3016592,"Pinaceae","Tree","Tree","woody"
"28","Abies magnifica",52.4256,24.3592666666667,1.079103596,74.303361,0.047897351,0.36,"Pinaceae","Tree","Tree","woody"
"29","Abies mariesii",NA,NA,NA,23.7545628,NA,NA,"Pinaceae","Tree","Tree","woody"
"30","Abies nephrolepis",NA,NA,1.33,NA,NA,0.323406,"Pinaceae","Tree","Tree","woody"
"31","Abies nordmanniana",30,NA,NA,75.31731225,NA,NA,"Pinaceae","Tree","Tree","woody"
"32","Abies numidica",NA,NA,NA,33.22,NA,NA,NA,NA,NA,NA
"33","Abies pindrow",NA,NA,NA,18.33,NA,0.38,"Pinaceae","Tree","Tree","woody"
"34","Abies pinsapo",7.24691358024691,NA,NA,49.3000108330625,NA,0.41,"Pinaceae","Tree","Tree","woody"
"35","Abies procera",76.0476,NA,NA,34.7379783333333,NA,0.37,"Pinaceae","Tree","Tree","woody"
"36","Abies recurvata",NA,NA,NA,NA,NA,0.36,"Pinaceae","Tree","Tree","woody"
"37","Abies religiosa",NA,NA,NA,34.185,NA,0.38,"Pinaceae","Tree","Tree","woody"
"38","Abies sachalinensis",2.06484078005431,13.6,1,9.75240514285714,5.80012760280726e-06,0.318,"Pinaceae","Tree","Tree","woody"
"39","Abies sibirica",NA,NA,NA,10,NA,NA,"Pinaceae","Tree","Tree","woody"
"40","Abies spectabilis",NA,NA,1.73,37.04,NA,NA,"Pinaceae","Tree","Tree","woody"
"41","Abies veitchii",NA,NA,NA,9.32161,NA,NA,NA,NA,NA,NA
"42","Abies vejarii",NA,NA,NA,20,NA,NA,"Pinaceae","Tree","Tree","woody"
"43","Abrahamia ditimena",NA,NA,NA,NA,NA,0.6780487175,"Anacardiaceae","Tree","Tree","woody"
"44","Abronia latifolia",NA,NA,NA,8.338,NA,NA,"Nyctaginaceae","Herb","Herb","herbaceous"
"45","Abronia maritima",NA,NA,NA,8.66,NA,NA,"Nyctaginaceae","Herb","Herb","herbaceous"
"46","Abronia pogonantha",NA,NA,NA,6.36,NA,NA,"Nyctaginaceae","Herb","Herb","herbaceous"
"47","Abronia umbellata",NA,NA,NA,2.8677,NA,NA,"Nyctaginaceae","Herb","Herb","herbaceous"
"48","Abronia villosa",NA,50,NA,1.81833333333333,14,NA,"Nyctaginaceae","Herb","Herb","herbaceous"
"49","Abrophyllum ornans",NA,NA,NA,NA,NA,0.601604,NA,NA,NA,NA
"50","Abrus precatorius",NA,NA,NA,74.8304405,NA,NA,"Fabaceae","Vine","Liana_Vine","herbaceous"
"51","Abuta grandifolia",NA,22.5,NA,NA,12.014,NA,NA,NA,NA,NA
"52","Abuta panamensis",NA,24.2,0.63700711,NA,NA,NA,NA,NA,NA,NA
"53","Abuta rufescens",NA,16.3,NA,NA,5.56,0.45,"Menispermaceae","Liana","Tree_Vine_Liana","woody"
"54","Abutilon abutiloides",NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"55","Abutilon anglosomaliae",NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA
"56","Abutilon bidentatum",NA,NA,NA,2.6,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"57","Abutilon cryptopetalum",NA,NA,NA,3.1369,NA,NA,NA,NA,NA,NA
"58","Abutilon fraseri",NA,NA,NA,1.123,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"59","Abutilon incanum",NA,NA,NA,3.6,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"60","Abutilon indicum",NA,32.41,5.3,NA,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"61","Abutilon longicuspe",NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"62","Abutilon otocarpum",NA,NA,NA,2.28342857142857,NA,NA,NA,NA,NA,NA
"63","Abutilon pannosum",NA,NA,NA,1.09,NA,NA,NA,NA,NA,NA
"64","Abutilon theophrasti",1.2,39.3,NA,9.0119,25,NA,"Malvaceae","Herb","Shrub_Herb","herbaceous"
"65","Abutilon trisulcatum",NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
"66","Acacia acinacea",NA,NA,NA,11.76,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"67","Acacia acradenia",NA,NA,NA,9.126,NA,0.904025,NA,NA,NA,NA
"68","Acacia acuminata",NA,NA,NA,18.8871428571429,NA,0.95146216675,NA,NA,NA,NA
"69","Acacia adsurgens",NA,NA,NA,7.169,NA,0.886915,NA,NA,NA,NA
"70","Acacia adunca",NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA
"71","Acacia alata",NA,NA,NA,7.60026433333333,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"72","Acacia alleniana",NA,NA,NA,NA,NA,0.559825,NA,NA,NA,NA
"73","Acacia ammobia",NA,NA,NA,8.2005,NA,NA,NA,NA,NA,NA
"74","Acacia ampliceps",NA,NA,NA,26.5,NA,0.56813,NA,NA,NA,NA
"75","Acacia ancistrocarpa",NA,NA,NA,48,NA,NA,NA,NA,NA,NA
"76","Acacia aneura",NA,NA,NA,15.31775,NA,0.979963222222222,NA,NA,NA,NA
"77","Acacia angustissima",NA,NA,NA,11.6,NA,0.85,NA,NA,NA,NA
"78","Acacia aroma",NA,NA,NA,NA,NA,0.8082,NA,NA,NA,NA
"79","Acacia aspera",NA,NA,NA,13.2065603333333,NA,NA,NA,NA,NA,NA
"80","Acacia atkinsiana",NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA
"81","Acacia aulacocarpa",NA,NA,NA,18.7780289090909,NA,0.655010661083333,NA,NA,NA,NA
"82","Acacia auriculiformis",NA,24.8,1.2,18.9976923076923,9.5,0.68,"Fabaceae","Tree","Tree","woody"
"83","Acacia baileyana",NA,NA,NA,20.7166666666667,NA,NA,"Fabaceae","Tree","Tree","woody"
"84","Acacia bakeri",NA,NA,NA,NA,NA,0.7707975,NA,NA,NA,NA
"85","Acacia beckleri",NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA
"86","Acacia binervata",NA,NA,NA,18.1990806666667,NA,NA,NA,NA,NA,NA
"87","Acacia bivenosa",NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
"88","Acacia boormanii",NA,NA,NA,12,NA,0.503042,NA,NA,NA,NA
"89","Acacia brachybotrya",NA,NA,NA,21.86,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"90","Acacia brachystachya",NA,NA,NA,28.1406666666667,NA,0.99,NA,NA,NA,NA
"91","Acacia brevispica",NA,36,2,510.5,17.32,NA,NA,NA,NA,NA
"92","Acacia buxifolia",NA,NA,NA,12.8957078571429,NA,NA,"Fabaceae","Tree","Tree","woody"
"93","Acacia caffra",NA,28.3,1.3,NA,6.731,NA,"Fabaceae","Tree","Tree","woody"
"94","Acacia calamifolia",NA,NA,NA,17.314,NA,NA,NA,NA,NA,NA
"95","Acacia calcicola",NA,NA,NA,45,NA,NA,NA,NA,NA,NA
"96","Acacia cambagei",NA,NA,NA,26.55,NA,1.08305565,NA,NA,NA,NA
"97","Acacia cardiophylla",NA,NA,NA,15.0975,NA,NA,"Fabaceae","Tree","Tree","woody"
"98","Acacia catechu",NA,NA,NA,35.435,NA,0.800865,"Fabaceae","Tree","Tree","woody"
"99","Acacia caven",NA,NA,NA,87.42,NA,0.7826,NA,NA,NA,NA
"100","Acacia chalkeri",NA,NA,NA,5.76126866666667,NA,NA,NA,NA,NA,NA
"101","Acacia chisholmii",NA,NA,NA,NA,NA,0.79339,NA,NA,NA,NA
"102","Acacia cincinnata",NA,NA,NA,12,NA,NA,NA,NA,NA,NA
"103","Acacia citrinoviridis",NA,NA,NA,NA,NA,0.845,NA,NA,NA,NA
"104","Acacia cochliacantha",7,NA,NA,24.2,NA,0.94,NA,NA,NA,NA
"105","Acacia colei",NA,NA,NA,NA,NA,0.6880725,NA,NA,NA,NA
"106","Acacia colletioides",2.6,17.9326878,0.49,6.7377896,1.37981449469095,NA,NA,NA,NA,NA
"107","Acacia complanata",NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA
"108","Acacia concurrens",NA,NA,NA,12.82,NA,0.75784,NA,NA,NA,NA
"109","Acacia conferta",NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA
"110","Acacia confusa",NA,NA,NA,33.5,NA,0.732285375,"Fabaceae","Tree","Tree","woody"
"111","Acacia constricta",NA,NA,NA,6.93333333333333,NA,NA,"Fabaceae","Shrub","Herb_Tree_Shrub","woody"
"112","Acacia continua",NA,NA,NA,5.22909675,NA,NA,NA,NA,NA,NA
"113","Acacia coriacea",NA,NA,NA,70.783,NA,0.938029875,NA,NA,NA,NA
"114","Acacia cowleana",NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA
"115","Acacia craspedocarpa",NA,NA,NA,84.8,NA,0.886915,NA,NA,NA,NA
"116","Acacia crassicarpa",NA,NA,NA,24,NA,0.596430958375,NA,NA,NA,NA
"117","Acacia crassiuscula",NA,NA,NA,4.64751666666667,NA,NA,"Fabaceae","Tree","Tree","woody"
"118","Acacia cultriformis",NA,NA,NA,13.292,NA,NA,"Fabaceae","Tree","Tree","woody"
"119","Acacia cuthbertsonii",NA,NA,NA,60.6083333333333,NA,NA,NA,NA,NA,NA
"120","Acacia cyclops",NA,15.72125,NA,27.6566666666667,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"121","Acacia cyperophylla",NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA
"122","Acacia dawsonii",NA,NA,NA,4.374336,NA,NA,NA,NA,NA,NA
"123","Acacia dealbata",23.4,NA,NA,12.8275133950317,4.38,0.54681757775,"Fabaceae","Tree","Tree","woody"
"124","Acacia deanei",NA,NA,NA,18.6,NA,NA,"Fabaceae","Tree","Tree","woody"
"125","Acacia decora",NA,NA,NA,10.082,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"126","Acacia decurrens",NA,NA,NA,29.2358823529412,NA,0.5557645,"Fabaceae","Tree","Tree","woody"
"127","Acacia desmondii",NA,NA,NA,4.54206666666667,NA,NA,NA,NA,NA,NA
"128","Acacia dictyophleba",NA,NA,NA,NA,NA,0.7619925,NA,NA,NA,NA
"129","Acacia difficilis",NA,NA,NA,18.8,NA,0.7768775,NA,NA,NA,NA
"130","Acacia difformis",NA,NA,NA,44.05,NA,NA,NA,NA,NA,NA
"131","Acacia dimidiata",NA,NA,NA,40.7,NA,NA,NA,NA,NA,NA
"132","Acacia doratoxylon",12,18.15108012,0.698,15.4,2.54564441607678,0.7879075,NA,NA,NA,NA
"133","Acacia drummondii",NA,NA,NA,6.38166666666667,NA,NA,NA,NA,NA,NA
"134","Acacia dudgeoni",NA,NA,NA,125,NA,NA,NA,NA,NA,NA
"135","Acacia elata",NA,NA,NA,32.0471428571429,NA,0.51,"Fabaceae","Tree","Tree","woody"
"136","Acacia elongata",NA,NA,NA,9.784,NA,NA,"Fabaceae","Tree","Tree","woody"
"137","Acacia estrophiolata",NA,NA,NA,35.3973333333333,NA,NA,NA,NA,NA,NA
"138","Acacia excelsa",NA,NA,NA,20.5954927777778,NA,0.93762775,NA,NA,NA,NA
"139","Acacia extensa",NA,NA,NA,11.86,NA,NA,"Fabaceae","Tree","Tree","woody"
"140","Acacia falcata",NA,19.3,0.5313951,12.829359375,7.81298565,NA,"Fabaceae","Shrub","Shrub","woody"
"141","Acacia falciformis",NA,NA,NA,42.844,NA,NA,NA,NA,NA,NA
"142","Acacia farnesiana",6.71466666666667,50.0126666666667,1.18826,73.2123214285714,20.18,0.53,NA,NA,NA,NA
"143","Acacia fasciculifera",NA,NA,NA,NA,NA,0.96416,"Fabaceae","Tree","Tree","woody"
"144","Acacia filicifolia",NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA
"145","Acacia fimbriata",NA,NA,NA,22.1446123333333,NA,NA,NA,NA,NA,NA
"146","Acacia flavescens",NA,NA,NA,34,NA,NA,NA,NA,NA,NA
"147","Acacia fleckii",NA,39,1,NA,5.47,NA,NA,NA,NA,NA
"148","Acacia flocktoniae",NA,NA,NA,5.143937,NA,NA,NA,NA,NA,NA
"149","Acacia floribunda",3.5,23.03382695,0.585,8.14689575,3.98407281406375,0.528021,NA,NA,NA,NA
"150","Acacia georginae",NA,NA,NA,58.509,NA,0.77495,"Fabaceae","Tree","Tree","woody"
"151","Acacia gerrardii",NA,24.8,1.1,74.6975,6.26,0.77495,NA,NA,NA,NA
"152","Acacia glandulicarpa",NA,NA,NA,5.23,NA,NA,"Fabaceae","Tree","Tree","woody"
"153","Acacia glaucocarpa",NA,NA,NA,24,NA,0.78,NA,NA,NA,NA
"154","Acacia gnidium",NA,NA,NA,6.85,NA,NA,"Fabaceae","Tree","Tree","woody"
"155","Acacia grasbyi",NA,NA,NA,NA,NA,0.981975666666667,NA,NA,NA,NA
"156","Acacia gunnii",1,NA,NA,NA,5.12,NA,NA,NA,NA,NA
"157","Acacia hakeoides",NA,NA,NA,26.245,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"158","Acacia harpophylla",NA,NA,NA,62,NA,0.896091166625,NA,NA,NA,NA
"159","Acacia havilandiorum",4,13.39234778,0.394,6.1,1.69774114896605,NA,NA,NA,NA,NA
"160","Acacia hemignosta",NA,NA,NA,56.3,NA,0.645875,NA,NA,NA,NA
"161","Acacia hemiteles",NA,NA,NA,50.1,NA,NA,NA,NA,NA,NA
"162","Acacia hemsleyi",NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA
"163","Acacia hispidula",NA,NA,NA,39.926284,NA,NA,NA,NA,NA,NA
"164","Acacia holosericea",NA,NA,NA,5.31182075,NA,0.749035,NA,NA,NA,NA
"165","Acacia homalophylla",NA,NA,NA,13.6691333333333,NA,NA,"Fabaceae","Tree","Tree","woody"
"166","Acacia howittii",NA,NA,NA,4.01185875,NA,NA,"Fabaceae","Tree","Tree","woody"
"167","Acacia implexa",NA,NA,NA,18.812,NA,0.63893958325,NA,NA,NA,NA
"168","Acacia irrorata",NA,NA,NA,10.8194,NA,0.507327333333333,NA,NA,NA,NA
"169","Acacia iteaphylla",NA,NA,NA,32.8,NA,NA,"Fabaceae","Tree","Tree","woody"
"170","Acacia ixiophylla",NA,NA,NA,6.525,NA,NA,NA,NA,NA,NA
"171","Acacia jennerae",NA,NA,NA,NA,NA,0.742091,NA,NA,NA,NA
"172","Acacia juncifolia",NA,NA,NA,9.71021816666667,NA,NA,NA,NA,NA,NA
"173","Acacia karroo",NA,27,1,13.84,9.33,0.6889,NA,NA,NA,NA
"174","Acacia kempeana",NA,NA,NA,14.17,NA,NA,NA,NA,NA,NA
"175","Acacia kettlewelliae",NA,NA,NA,20.08,NA,NA,"Fabaceae","Tree","Tree","woody"
"176","Acacia koa",NA,NA,NA,90.9,NA,NA,"Fabaceae","Tree","Tree","woody"
"177","Acacia kybeanensis",NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA
"178","Acacia laccata",NA,NA,NA,NA,NA,0.72312,NA,NA,NA,NA
"179","Acacia lanigera",NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA
"180","Acacia lasiocalyx",NA,NA,NA,23.2,NA,0.6842475,NA,NA,NA,NA
"181","Acacia latescens",NA,NA,NA,94,NA,NA,NA,NA,NA,NA
"182","Acacia latzii",NA,NA,NA,12.644,NA,NA,NA,NA,NA,NA
"183","Acacia leiocalyx",NA,NA,NA,4.09034666666667,NA,0.569276,NA,NA,NA,NA
"184","Acacia leiophylla",NA,NA,NA,6.683236,NA,NA,NA,NA,NA,NA
"185","Acacia leprosa",NA,NA,NA,5.40843457142857,NA,NA,"Fabaceae","Tree","Tree","woody"
"186","Acacia leptocarpa",NA,NA,NA,13,NA,NA,NA,NA,NA,NA
"187","Acacia leptoclada",NA,NA,NA,8.99,NA,NA,"Fabaceae","Tree","Tree","woody"
"188","Acacia ligulata",NA,NA,NA,26.2565833333333,NA,NA,NA,NA,NA,NA
"189","Acacia linifolia",NA,NA,NA,22.8180166428571,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"190","Acacia longifolia",NA,26.0767441860465,0.4112354,15.0376923076923,8.65306816,0.51,"Fabaceae","Shrub","Shrub","woody"
"191","Acacia longissima",NA,NA,NA,12.4,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"192","Acacia mabellae",NA,NA,NA,13.3842496666667,NA,NA,NA,NA,NA,NA
"193","Acacia maconochieana",NA,NA,NA,NA,NA,0.8004325,NA,NA,NA,NA
"194","Acacia macracantha",10,35.5,NA,27.4,13.805,0.63,NA,NA,NA,NA
"195","Acacia maidenii",NA,NA,NA,13.4250566666667,NA,0.62,"Fabaceae","Tree","Tree","woody"
"196","Acacia maitlandii",NA,NA,NA,8.762,NA,NA,NA,NA,NA,NA
"197","Acacia mangium",NA,25.6,NA,11.96,NA,0.506904464285714,"Fabaceae","Tree","Shrub_Tree","woody"
"198","Acacia mearnsii",NA,NA,NA,13.169976,NA,0.657163471,"Fabaceae","Tree","Tree","woody"
"199","Acacia melanoxylon",32.5,NA,NA,12.7932086666667,5.06,0.522077078947368,"Fabaceae","Tree","Shrub_Tree","woody"
"200","Acacia microcarpa",NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA
"201","Acacia mimula",NA,NA,NA,167,NA,NA,NA,NA,NA,NA
"202","Acacia minutifolia",NA,NA,NA,6.924,NA,NA,NA,NA,NA,NA
"203","Acacia montana",NA,NA,NA,9.25023028571428,NA,NA,"Fabaceae","Tree","Tree","woody"
"204","Acacia monticola",NA,NA,NA,16.898,NA,NA,NA,NA,NA,NA
"205","Acacia multispicata",NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"206","Acacia murrayana",NA,NA,NA,38.384,NA,0.5190915,NA,NA,NA,NA
"207","Acacia myrtifolia",NA,16.6,0.1479692,9.41264907142857,7.03946237,NA,"Fabaceae","Shrub","Shrub","woody"
"208","Acacia neriifolia",NA,NA,NA,28.9932295,NA,NA,NA,NA,NA,NA
"209","Acacia nilotica",NA,26,1,137.3,9.41,0.723286666666667,"Fabaceae","Tree","Tree","woody"
"210","Acacia obliquinervia",NA,NA,NA,26.7,NA,NA,NA,NA,NA,NA
"211","Acacia obtusata",NA,NA,NA,17.904946,NA,NA,"Fabaceae","Tree","Tree","woody"
"212","Acacia oncinocarpa",NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA
"213","Acacia oraria",NA,NA,NA,33,NA,0.92,NA,NA,NA,NA
"214","Acacia oshanesii",NA,NA,NA,NA,NA,0.7707975,NA,NA,NA,NA
"215","Acacia oswaldii",6.5,18.19139635,0.685,66.67,1.89283831250568,0.9757565,NA,NA,NA,NA
"216","Acacia oxycedrus",NA,NA,NA,27.8244022,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"217","Acacia pachycarpa",NA,NA,NA,175,NA,0.869805,NA,NA,NA,NA
"218","Acacia papyrocarpa",NA,NA,NA,NA,NA,0.975233416666667,NA,NA,NA,NA
"219","Acacia paradoxa",NA,NA,NA,14.1,NA,NA,"Fabaceae","Shrub","Tree_Shrub","woody"
"220","Acacia pellita",NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA
"221","Acacia pendula",NA,NA,NA,21.0316666666667,NA,0.9942275,NA,NA,NA,NA
"222","Acacia pennata",NA,31.7416423,NA,76.335,5.942,NA,NA,NA,NA,NA
"223","Acacia penninervis",NA,NA,NA,53.64,NA,0.6366648,"Fabaceae","Tree","Tree","woody"
"224","Acacia peuce",NA,NA,NA,NA,NA,1.2269625,NA,NA,NA,NA
"225","Acacia platycarpa",NA,NA,NA,138.5265,NA,NA,NA,NA,NA,NA
"226","Acacia plectocarpa",NA,NA,NA,22,NA,NA,NA,NA,NA,NA
"227","Acacia podalyriifolia",NA,NA,NA,32.650563,NA,0.68,"Fabaceae","Tree","Tree","woody"
"228","Acacia polyacantha",NA,NA,NA,NA,NA,1.21,"Fabaceae","Tree","Tree","woody"
"229","Acacia polybotrya",NA,NA,NA,31.452,NA,NA,"Fabaceae","Tree","Tree","woody"
"230","Acacia praecox",NA,NA,NA,NA,NA,0.7652,NA,NA,NA,NA
"231","Acacia prainii",NA,NA,NA,69.082,NA,NA,NA,NA,NA,NA
"232","Acacia pravissima",NA,NA,NA,7.7255466,NA,0.624417,NA,NA,NA,NA
"233","Acacia prominens",NA,NA,NA,13.1375,NA,NA,"Fabaceae","Tree","Tree","woody"
"234","Acacia pruinocarpa",NA,NA,NA,33.276,NA,0.93893425,NA,NA,NA,NA
"235","Acacia pruinosa",NA,NA,NA,17,NA,NA,"Fabaceae","Tree","Tree","woody"
"236","Acacia pubescens",NA,NA,NA,6.683236,NA,0.6169628555,NA,NA,NA,NA
"237","Acacia pulchella",NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA
"238","Acacia pycnantha",NA,NA,NA,17.2508333333333,NA,NA,"Fabaceae","Tree","Tree","woody"
"239","Acacia quadrimarginea",NA,NA,NA,NA,NA,0.9220655,NA,NA,NA,NA
"240","Acacia quornensis",NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA
"241","Acacia ramulosa",NA,NA,NA,63.0655,NA,1.0067545,NA,NA,NA,NA
"242","Acacia resinimarginea",NA,NA,NA,NA,NA,0.9960885,NA,NA,NA,NA
"243","Acacia retinodes",NA,NA,NA,21.28,NA,NA,"Fabaceae","Tree","Tree","woody"
"244","Acacia rhodoxylon",NA,NA,NA,NA,NA,1.10204,NA,NA,NA,NA
"245","Acacia riceana",NA,NA,NA,9.16,NA,NA,"Fabaceae","Tree","Tree","woody"
"246","Acacia rigens",NA,NA,NA,68.49,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"247","Acacia riparia",NA,38.8705437,NA,NA,13.504,NA,NA,NA,NA,NA
"248","Acacia robusta",NA,NA,NA,NA,NA,0.731925,NA,NA,NA,NA
"249","Acacia rostellifera",NA,13.9977281935484,0.665014109677419,NA,NA,NA,NA,NA,NA,NA
"250","Acacia rubida",7.25,NA,NA,19.395,4.54,NA,"Fabaceae","Tree","Tree","woody"
"251","Acacia salicina",NA,NA,NA,45.46925,NA,0.5810875,"Fabaceae","Tree","Tree","woody"
"252","Acacia saligna",NA,21.2289473684211,NA,17.2607142857143,NA,NA,"Fabaceae","Tree","Tree","woody"
"253","Acacia schinoides",NA,NA,NA,15.6,NA,NA,"Fabaceae","Tree","Tree","woody"
"254","Acacia sclerophylla",NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA
"255","Acacia sclerosperma",NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA
"256","Acacia semirigida",NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA
"257","Acacia senegal",NA,30.5,0.9,71.7666666666667,2.716,NA,"Fabaceae","Tree","Tree","woody"
"258","Acacia seyal",NA,NA,NA,46.66,NA,NA,"Fabaceae","Tree","Tree","woody"
"259","Acacia shirleyi",NA,NA,NA,13,NA,0.9449575,NA,NA,NA,NA
"260","Acacia sibilans",NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA
"261","Acacia siculiformis",NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA
"262","Acacia sieberiana",NA,NA,NA,291.354285714286,NA,NA,"Fabaceae","Tree","Tree","woody"
"263","Acacia silvestris",NA,NA,NA,26,NA,NA,NA,NA,NA,NA
"264","Acacia simsii",NA,NA,NA,80,NA,NA,NA,NA,NA,NA
"265","Acacia spathulifolia",NA,10.6157617,0.223380259,NA,NA,NA,NA,NA,NA,NA
"266","Acacia spectabilis",NA,NA,NA,23.3874952857143,NA,0.766145,"Fabaceae","Tree","Tree","woody"
"267","Acacia spondylophylla",NA,NA,NA,16.842,NA,NA,NA,NA,NA,NA
"268","Acacia stenophylla",NA,NA,NA,99.03,NA,0.76391,"Fabaceae","Tree","Tree","woody"
"269","Acacia stipuligera",NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA
"270","Acacia stricta",NA,NA,NA,5.26375842857143,NA,NA,NA,NA,NA,NA
"271","Acacia suaveolens",2.4,19.7429185666667,0.236405533333333,29.3583379473684,3.50539912504913,NA,"Fabaceae","Shrub","Shrub","woody"
"272","Acacia subtessarogona",NA,NA,NA,NA,NA,1.096957,NA,NA,NA,NA
"273","Acacia subulata",NA,NA,NA,22.22,NA,NA,"Fabaceae","Tree","Tree","woody"
"274","Acacia tenuissima",NA,NA,NA,6.33933333333333,NA,NA,NA,NA,NA,NA
"275","Acacia terminalis",NA,NA,NA,36.4922222222222,NA,NA,NA,NA,NA,NA
"276","Acacia tetragonophylla",NA,NA,NA,13.5251111111111,NA,0.93802975,NA,NA,NA,NA
"277","Acacia tortilis",NA,30.55,1.45,57.37,6.2675,NA,"Fabaceae","Tree","Tree","woody"
